Earthquake ID,Region,Date (dd/mm/yyyy),Filnn-Engdahl Region,Magnitude,Latitude (�N),Longitude (�E),Depth (km),Author,Upload Date (mm/yyyy)
1994050601,Nanao (Taiwan),5/6/1994,Taiwan,6.28,24.468,121.787,5.1,Ma and Wu (2001),May-20
1994060401,Taiwan (9404060112P160),6/4/1994,Taiwan,4.54,23.533,120.421,13.4,Ma and Wu (2001),May-20
1994170101,Northridge (Calif.),17/01/1994,"Southern California, United States",6.66,34.213,-118.537,17.5,Dreger (1994),Nov-12
1993151201,Tapu (Taiwan),15/12/1993,Taiwan,5.65,23.194,120.507,15.2,Ma and Wu (2001),May-20
1993120701,Hokkaido-nansei-oki (Japan),12/7/1993,"Hokkaido, Japan, region",7.7,42.812,139.133,17,Hayes (2017),Nov-19
1993200301,"Pumqu-Xainza, Tibet",20/03/1993,Xizang,6.29,29.0464,87.4905,8.3,Wang et al. (2014),Dec-15
1992290601,Little Skull Mnts (Nevada),29/06/1992,California-Nevada border region,5.63,36.4316,-116.1776,11.8,Silva et al. (2003),Nov-12
1992280601,Landers (Calif.),28/06/1992,"Southern California, United States",7.08,34.2,-116.43,5,Cohee and Beroza (1994),Nov-12
1992230401,Joshua Tree (Calif.),23/04/1992,"Southern California, United States",6.25,33.966,-116.317,12.5,Bennet et al. (1995),Nov-12
1991280601,Sierra Madre (Calif.),28/06/1991,"Southern California, United States",5.59,34.264,-117.99,20.9,Wald (1992),Nov-12
1990050401,Mariana Islands Region,5/4/1990,Mariana Islands Region,7.37,15.23,147.53,11,Hayes (2017),Oct-19
1989251201,Ungava (Canada),25/12/1989,"Northern Quebec, Canada",6.02,60.12,-73.6,2.5,Hartzell et al. (1994),Nov-12
1989181001,Loma Prieta (Calif.),18/10/1989,"Central California, United States",6.95,37.041,-121.883,17.6,Beroza (1991),Nov-12
1988251101,Saguenay (Canada),25/11/1988,"Southern Quebec, Canada",5.81,48.117,-71.184,26,Hartzell et al. (1994),Nov-12
1987241101,Superstition Hills (Calif.),24/11/1987,"Southern California, United States",6.6,33.0166,-115.85,10,Larsen et al. (1992),Nov-12
1987241102,Elmore Ranch (Calif.),24/11/1987,"Southern California, United States",6.52,33.0833,-115.796,10,Larsen et al. (1992),Nov-12
1987011001,Whittier Narrows (Calif.),1/10/1987,"Southern California, United States",5.89,34.05,-118.08,14.6,Hartzell and Iida (1990),Nov-12
1986080701,North Palm Springs (Calif.),8/7/1986,"Southern California, United States",6.21,34,-116.57,11,Hartzell (1989),Nov-12
1985231201,Nahanni2 (Canada),23/12/1985,"Northwest Territories, Canada",6.66,62.187,-124.24,8,Hartzell et al. (1994),Nov-12
1985051001,Nahanni1 (Canada),5/10/1985,"Northwest Territories, Canada",6.66,62.208,-124.217,8,Hartzell et al. (1994),Nov-12
1985210901,Zihuatanejo (Mexico),21/09/1985,"Near coast of Guerrero, Mexico",7.42,17.598,-101.819,20,Mendoza (1993),Nov-12
1985190901,Michoacan (Mexico),19/09/1985,"Michoacan, Mexico",8.01,18.18,-102.57,17,Mendoza and Hartzell (1989),Nov-12
1985030301,Central Chile (Chile),3/3/1985,Near coast of central Chile,8.16,-33.125,-71.61,40,Mendoza et al. (1994),Nov-12
1984140901,Nagano-ken seibu (Japan),14/09/1984,"Eastern Honshu, Japan",6.29,35.82,137.49,3,Takeo and Mikami (1987),Nov-12
1984240401,Morgan Hill (Calif.),24/04/1984,"Central California, United States",6.28,37.317,-121.682,8.5,Beroza and Spudich (1988),Nov-12
1983281001,Borah Peak (Idaho),28/10/1983,"Eastern Idaho, United States",6.82,44.06,-113.86,16,Mendoza and Hartzell (1988),Nov-12
1983260501,Japanea-chubu (Japan),26/05/1983,"Near West Coast Of Honshu, Japan",7.58,40.357,139.077,8.1,Fukuyama and Irikura (1986),Nov-14
1982090101,New Brunswick (Canada),9/1/1982,"New Brunswick, Canada",5.47,46.984,-66.656,8,Hartzell et al. (1994),Nov-12
1981251001,Playa Azul (Mexico),25/10/1981,"Near coast of Michoacan, Mexico",7.25,17.742,-102.238,15,Mendoza (1993),Nov-12
1980290601,Izu-hanto-toho-oki (Japan),29/06/1980,"Near south coast of eastern Honshu, Japan",6.61,34.9231,139.1855,8,Takeo (1988),Nov-12
1979151001,Imperial Valley (Calif.),15/10/1979,California-Baja California border region,6.53,32.644,-115.309,8,Archuleta (1984),Mar-13
1979060801,Coyote Lake (Calif.),6/8/1979,"Central California, United States",5.92,36.97,-121.51,8,Liu and Helmberger (1983),Nov-12
1979140301,Petatlan (Mexico),14/03/1979,"Near coast of Guerrero, Mexico",7.39,17.46,-101.46,15,Mendoza (1995),Nov-12
1978160901,Tabas (Iran),16/09/1978,Northern and central Iran,7.09,33.22,57.36,5.5,Hartzell and Mendoza (1991),Nov-12
1978120601,Miyagiki (Japan),12/6/1978,"Near east coast of eastern Honshu, Japan",7.61,38.15,142.167,37,Yamanaka and Kikuchi (2004),Nov-12
1975210401,Oita-ken-chubu (Japan),21/04/1975,"Kyushu, Japan",6.36,33.15,131.3,8.5,Takeo (1990),Nov-12
1974031001,Peru (Central Coast),3/10/1974,Near coast of Peru,8.01,-12.39,-77.76,12,Hartzell and Langer (1993),Nov-12
1974090501,Izu-hanto-oki (Japan),9/5/1974,"Near south coast of eastern Honshu, Japan",6.56,34.4,138.8,8,Takeo (1990),Nov-12
1971090201,San Fernando (Calif.),9/2/1971,"Southern California, United States",6.82,34.43,-118.37,13,Heaton (1982),Nov-12
1969090901,Gifu-ken-chubu (Japan),9/9/1969,"Eastern Honshu, Japan",6.43,35.47,137.05,2,Takeo (1990),Nov-12
1968160501,Tokachi-oki (Japan),16/05/1968,"Off east coast of Honshu, Japan",8.35,40.73,143.58,9,Nagai et al. (2001),Nov-12
1968010401,Hyuga-nada (Japan),1/4/1968,"Shikoku, Japan",7.53,32.28,132.53,15,Yagi et al. (1998),Nov-12
1961190801,Kitamino (Japan),19/08/1961,"Near west coast of eastern Honshu, Japan",6.47,36.2,136.8,10,Takeo (1990),Nov-12
1952040301,"Tokachi-Oki,Japan",4/3/1952,"Hokkaido, Japan Region",8.4,41.7057,144.1512,17.6,Kobayashi et al. (2021),Feb-21
1948280601,Fukui (Japan),28/06/1948,"Near west coast of eastern Honshu, Japan",6.65,36.247,136.188,10.1,Ichinose et al. (2005),Nov-12
1946201201,Nankaido (Japan),20/12/1946,"Near south coast of western Honshu, Japan",8.4,33.03,135.62,30,Baba et al. (2002),Nov-12
1945120101,Mikawa (Japan),12/1/1945,"Near south coast of eastern Honshu, Japan",6.67,34.7,137.1,10,Kikuchi et al. (2003),Nov-12
1944071201,Tonankai (Japan),7/12/1944,"Near south coast of western Honshu, Japan",8.04,33.77,135.96,30,Ichinose et al. (2003),Nov-12
1923010901,Kanto (Japan),1/9/1923,"Near south coast of eastern Honshu, Japan",8.08,35.4,139.2,14.6,Kobayashi and Koketsu (2005),Nov-12
