Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2023,5,31,17,37,26,1.7,31.7194,-104.3046,6.8
2023,5,31,15,53,23,2.2,31.7206,-104.3043,7.2
2023,5,31,14,45,25,2.1,31.7198,-104.3213,7.3
2023,5,31,14,10,41,3.2,32.7512,-100.6616,7.9
2023,5,31,13,37,47,1.9,31.5971,-104.2423,7.9
2023,5,31,13,16,24,1.9,31.5890,-104.2425,6.1
2023,5,31,12,16,5,1.5,31.6042,-104.2377,7.8
2023,5,31,10,7,55,2.0,32.7567,-100.6723,6.6
2023,5,31,8,46,40,2.1,31.6062,-104.2504,8.4
2023,5,31,8,27,53,2.1,31.6288,-104.2441,6.0
2023,5,30,21,59,52,2.2,31.5821,-104.2462,7.5
2023,5,30,13,23,31,2.6,31.5920,-104.2465,7.3
2023,5,30,11,49,30,2.6,31.5988,-104.2302,3.8
2023,5,30,7,37,32,1.4,31.6136,-104.0985,7.4
2023,5,30,6,37,6,2.2,31.6078,-103.9716,9.9
2023,5,30,6,6,13,1.9,31.1886,-103.7463,8.9
2023,5,30,3,11,45,1.9,31.6253,-104.1117,7.9
2023,5,30,2,0,4,2.6,31.6136,-103.9839,8.2
2023,5,30,0,42,41,2.0,31.6120,-103.9890,9.6
2023,5,29,20,56,8,1.9,31.6117,-103.9893,8.6
2023,5,29,19,56,43,2.2,31.6866,-104.4157,7.1
2023,5,29,10,14,18,2.1,31.4941,-104.0368,7.7
2023,5,29,6,57,52,2.7,31.7404,-104.2503,8.4
2023,5,29,3,46,59,2.0,31.1657,-103.2947,3.5
2023,5,29,1,15,39,2.0,28.3182,-98.9307,4.4
2023,5,29,0,35,57,1.9,31.5418,-104.1714,8.3
2023,5,28,22,2,24,1.9,31.5154,-104.0143,8.0
2023,5,28,11,46,39,2.7,31.6600,-104.2573,7.5
2023,5,28,11,2,44,1.8,31.7281,-104.5618,7.3
2023,5,28,10,16,10,2.5,31.6530,-104.2626,7.5
2023,5,28,10,8,16,3.0,31.6473,-104.2639,7.3
2023,5,27,17,34,25,2.2,31.6864,-104.2892,8.8
2023,5,27,8,24,28,2.9,31.7174,-104.2658,8.6
2023,5,27,7,14,32,1.9,28.6432,-98.2659,2.6
2023,5,27,6,9,8,2.0,31.7183,-104.2712,8.1
2023,5,27,3,32,6,1.9,31.1758,-103.4946,1.6
2023,5,26,20,6,59,2.5,32.3026,-101.7934,8.0
2023,5,26,19,39,15,2.4,32.2897,-101.8127,7.4
2023,5,26,18,9,2,2.0,31.6753,-104.3828,8.2
2023,5,26,18,7,2,1.9,32.1121,-102.0357,9.5
2023,5,26,16,8,41,2.4,31.6332,-104.1860,8.1
2023,5,26,14,51,25,3.1,31.6071,-103.9871,7.2
2023,5,26,13,30,24,1.6,31.6244,-103.9804,7.5
2023,5,26,12,59,11,1.9,31.7241,-104.2868,8.7
2023,5,26,6,47,58,2.4,31.7063,-104.4892,7.4
2023,5,26,5,34,58,2.7,31.6147,-103.9695,7.9
2023,5,26,2,46,21,1.9,31.6153,-103.9653,7.3
2023,5,26,1,19,35,2.4,31.5667,-104.1619,9.3
2023,5,25,19,48,41,1.6,31.7227,-104.5456,7.0
2023,5,25,18,27,43,2.4,31.6084,-103.9642,9.9
2023,5,25,16,30,42,1.9,31.6925,-104.3593,7.4
2023,5,25,9,29,51,3.5,31.7061,-104.5465,7.7
2023,5,24,9,4,52,2.3,31.6255,-104.5134,10.0
2023,5,24,6,9,51,2.0,28.6249,-98.2452,7.5
2023,5,24,3,8,13,2.9,31.6621,-104.3719,7.3
