Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1924,4,21,20,0,59.0,-100.769,18.710,0,15.0,0,0.0,0,6.4,131,0.0,0,6.4,163,0.0,0,0.0,0,6.4,164
1925,5,26,8,19,54.0,-89.272,13.929,0,15.0,0,0.0,0,0.0,0,0,0,5.9,159,0.0,0,0.0,0,5.9,164
1925,8,7,7,47,48.0,-102.000,19.000,25,100.0,89,0.0,0,6.7,102,0.0,0,6.4,163,0.0,0,0.0,0,6.4,164
1925,8,29,22,36,44.3,-111.239,26.886,0,15.0,0,0.0,0,0.0,0,0.0,0,6.3,159,0.0,0,0.0,0,6.3,164
1925,11,16,11,54,54.0,-106.500,18.400,26,0.0,0,0.0,0,7.0,26,0.0,0,7.0,43,0.0,0,0.0,0,7.0,164
1925,11,28,12,33,16.5,-89.099,15.014,0,15.0,0,0.0,0,0.0,0,0,0,5.9,159,0.0,0,0.0,0,5.9,164
1925,12,10,14,14,42.0,-92.500,15.500,10; 20; 21,0.0,0,0.0,0,7.0,20; 21,7.1,10,0.0,0,0.0,0,0.0,0,7.2,165
1925,12,11,1,27,36.3,-91.318,16.097,0,15.0,0,0.0,0,0.0,0,0.0,0,6.0,159,0.0,0,0.0,0,6.0,164
1926,2,10,14,48,31.4,-86.254,13.067,0,15.0,0,0.0,0,0.0,0,0,0,5.7,159,0.0,0,0.0,0,5.7,164
1926,5,11,11,20,28.0,-106.439,19.995,0,15.0,0,0.0,0,6.2,131,0.0,0,6.2,163,0.0,0,0.0,0,6.2,164
1926,5,26,17,53,39.7,-88.386,13.351,0,15.0,0,0.0,0,0.0,0,0,0,5.7,159,0.0,0,0.0,0,5.7,164
1927,1,1,8,16,0.0,-115.500,32.500,0,0.0,0,0.0,0,5.7,132,0.0,0,0.0,0,0.0,0,0.0,0,5.8,165
1927,1,1,8,16,39.3,-115.119,28.659,0,15.0,0,0.0,0,0.0,0,0.0,0,6.0,159,0.0,0,0.0,0,6.0,164
