Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Template Event Magnitude,Detection Magnitude,Event Template ID,Detection ID,Correlation Coefficient
2016,9,21,20,10,12,38.4678,-112.7989,5.55,0.1,-1.1,11,1609210147,0.6010
2016,9,21,20,11,44,38.4677,-112.7892,2.44,-0.7,-1.1,58,1609210148,0.5000
2016,9,21,20,23,23,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210149,0.6600
2016,9,21,20,24,43,38.4698,-112.7871,1.27,-0.1,-0.9,19,1609210150,0.5200
2016,9,21,20,29,42,38.4677,-112.7892,2.44,-0.7,-1.4,58,1609210151,0.4720
2016,9,21,20,52,11,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210152,0.6860
2016,9,21,21,20,43,38.4680,-112.7960,5.31,1.3,0.0,14,1609210153,0.8060
2016,9,21,21,42,8,38.4680,-112.7960,5.31,1.3,-0.8,14,1609210154,0.5210
2016,9,21,21,44,59,38.4680,-112.7941,4.20,-0.6,-1.2,20,1609210155,0.4370
2016,9,21,21,46,31,38.4681,-112.7908,3.91,0.2,-0.7,17,1609210156,0.5970
2016,9,21,23,3,41,38.4680,-112.7960,5.31,1.3,-0.7,14,1609210157,0.5840
2016,9,21,23,9,5,38.4678,-112.7989,5.55,0.1,-1.0,11,1609210158,0.5700
2016,9,21,23,24,37,38.4652,-112.7929,3.65,0.2,-1.3,09,1609210159,0.3830
2016,9,21,23,42,20,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210160,0.7310
2016,9,22,0,3,5,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609220001,0.5830
2016,9,22,0,18,58,38.4680,-112.7941,4.20,-0.6,-1.1,20,1609220002,0.6240
2016,9,22,0,26,37,38.4680,-112.7941,4.20,-0.6,-0.7,20,1609220003,0.6070
2016,9,22,0,50,55,38.4694,-112.7879,2.18,-0.4,-0.1,15,1609220004,0.7790
2016,9,22,0,51,25,38.4698,-112.7871,1.27,-0.1,-0.3,19,1609220005,0.5170
2016,9,22,1,7,42,38.4681,-112.7908,3.91,0.2,-0.6,17,1609220006,0.6390
2016,9,22,1,19,56,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609220007,0.4810
2016,9,22,2,47,46,38.4678,-112.7989,5.55,0.1,-0.5,11,1609220008,0.4720
2016,9,22,3,23,36,38.4676,-112.7968,5.32,1.0,-0.2,04,1609220009,0.7670
2016,9,22,4,25,10,38.4664,-112.7945,4.02,-0.0,-1.3,73,1609220010,0.4490
2016,9,22,4,41,42,38.4677,-112.7892,2.44,-0.7,-1.6,58,1609220011,0.6360
2016,9,22,4,42,8,38.4677,-112.7892,2.44,-0.7,-1.4,58,1609220012,0.6180
2016,9,22,4,42,33,38.4698,-112.7871,1.27,-0.1,-0.9,19,1609220013,0.4810
2016,9,22,4,42,44,38.4664,-112.7945,4.02,-0.0,-1.3,73,1609220014,0.4890
2016,9,22,4,44,34,38.4677,-112.7890,2.38,-0.3,-1.1,72,1609220015,0.6280
2016,9,22,4,46,14,38.4680,-112.7941,4.20,-0.6,-1.4,20,1609220016,0.5740
2016,9,22,4,52,15,38.4677,-112.7892,2.44,-0.7,-0.9,58,1609220017,0.6020
2016,9,22,5,6,48,38.4677,-112.7892,2.44,-0.7,-1.7,58,1609220018,0.4480
2016,9,22,5,15,57,38.4680,-112.7941,4.20,-0.6,-1.4,20,1609220019,0.5500
2016,9,22,5,33,0,38.4677,-112.7892,2.44,-0.7,-0.6,58,1609220020,0.7040
2016,9,22,6,12,25,38.4677,-112.7890,2.38,-0.3,-1.4,72,1609220021,0.5950
2016,9,22,6,28,56,38.4680,-112.7941,4.20,-0.6,-1.5,20,1609220022,0.5810
2016,9,22,6,55,33,38.4677,-112.7892,2.44,-0.7,-1.3,58,1609220023,0.7010
2016,9,22,6,56,34,38.4677,-112.7892,2.44,-0.7,-1.8,58,1609220024,0.4710
2016,9,22,8,17,32,38.4678,-112.7989,5.55,0.1,-1.0,11,1609220025,0.4860
2016,9,22,8,25,28,38.4680,-112.7960,5.31,1.3,0.2,14,1609220026,0.7960
2016,9,22,8,35,18,38.4686,-112.7892,3.60,-0.1,-0.7,18,1609220027,0.6680
2016,9,22,9,27,6,38.4681,-112.7908,3.91,0.2,-1.2,17,1609220028,0.4950
2016,9,22,10,51,46,38.4680,-112.7960,5.31,1.3,-0.9,14,1609220029,0.5650
2016,9,22,10,51,56,38.4680,-112.7941,4.20,-0.6,-1.5,20,1609220030,0.4340
2016,9,22,11,16,48,38.4664,-112.7945,4.02,-0.0,-1.5,73,1609220031,0.5040
2016,9,22,11,22,43,38.4680,-112.7960,5.31,1.3,-1.1,14,1609220032,0.5940
2016,9,22,11,32,40,38.4677,-112.7892,2.44,-0.7,-1.5,58,1609220033,0.6040
2016,9,22,11,38,14,38.4677,-112.7890,2.38,-0.3,-1.6,72,1609220034,0.4670
2016,9,22,11,43,29,38.4678,-112.7989,5.55,0.1,-0.8,11,1609220035,0.5640
2016,9,22,12,29,26,38.4680,-112.7941,4.20,-0.6,-0.7,20,1609220036,0.8170
2016,9,22,12,51,5,38.4677,-112.7892,2.44,-0.7,-1.7,58,1609220037,0.5800
2016,9,22,13,45,52,38.4677,-112.7892,2.44,-0.7,-1.3,58,1609220038,0.6740
2016,9,22,13,52,0,38.4678,-112.7989,5.55,0.1,-1.0,11,1609220039,0.4850
2016,9,22,14,14,38,38.4680,-112.7941,4.20,-0.6,-1.4,20,1609220040,0.4850
2016,9,22,14,25,5,38.4680,-112.7941,4.20,-0.6,-1.6,20,1609220041,0.5190
2016,9,22,14,45,7,38.4680,-112.7960,5.31,1.3,-0.8,14,1609220042,0.6280
2016,9,22,14,51,55,38.4680,-112.7960,5.31,1.3,-0.3,14,1609220043,0.7990
2016,9,22,17,6,10,38.4678,-112.7989,5.55,0.1,-1.2,11,1609220044,0.4850
2016,9,23,0,47,50,38.4680,-112.7960,5.31,1.3,-0.9,14,1609230001,0.5400
2016,9,23,10,50,55,38.4680,-112.7941,4.20,-0.6,-1.8,20,1609230002,0.5010
2016,9,23,17,13,0,38.4676,-112.7968,5.32,1.0,-0.1,04,1609230003,0.3090
2016,9,24,18,44,12,38.4677,-112.7890,2.38,-0.3,-0.9,72,1609240001,0.4530
2016,9,24,18,47,44,38.4677,-112.7890,2.38,-0.3,-1.5,72,1609240002,0.4420
2016,9,25,5,19,17,38.4678,-112.7969,5.34,1.5,-0.3,03,1609250001,0.3010
2016,9,25,5,57,25,38.4680,-112.7960,5.31,1.3,-0.8,14,1609250002,0.3970
2016,9,25,8,40,59,38.4678,-112.7989,5.55,0.1,-1.4,11,1609250003,0.5000
2016,9,25,10,51,50,38.4678,-112.7989,5.55,0.1,-1.5,11,1609250004,0.4850
2016,9,25,11,9,2,38.4678,-112.7989,5.55,0.1,-1.1,11,1609250005,0.5140
2016,9,25,13,21,25,38.4698,-112.7871,1.27,-0.1,-0.8,19,1609250006,0.5020
2016,9,25,15,4,1,38.4680,-112.7941,4.20,-0.6,-1.4,20,1609250007,0.5140
2016,9,26,0,17,6,38.4678,-112.7989,5.55,0.1,-1.2,11,1609260001,0.4660
2016,9,26,5,7,58,38.4677,-112.7890,2.38,-0.3,-1.1,72,1609260002,0.4380
2016,9,26,7,28,33,38.4677,-112.7892,2.44,-0.7,-1.7,58,1609260003,0.4190
2016,9,26,9,36,32,38.4698,-112.7871,1.27,-0.1,0.1,19,1609260004,0.4950
2016,9,26,9,36,37,38.4677,-112.7890,2.38,-0.3,-1.1,72,1609260005,0.5110
2016,9,26,9,36,53,38.4677,-112.7892,2.44,-0.7,-1.0,58,1609260006,0.4860
2016,9,26,9,38,4,38.4698,-112.7871,1.27,-0.1,-0.3,19,1609260007,0.4780
2016,9,26,9,52,35,38.4677,-112.7892,2.44,-0.7,-1.9,58,1609260008,0.4930
2016,9,26,9,54,47,38.4664,-112.7945,4.02,-0.0,-0.6,73,1609260009,0.4450
2016,9,26,9,56,38,38.4677,-112.7890,2.38,-0.3,-1.2,72,1609260010,0.4570
2016,9,26,10,35,17,38.4698,-112.7871,1.27,-0.1,-0.6,19,1609260011,0.4150
2016,9,26,10,58,45,38.4680,-112.7941,4.20,-0.6,-0.6,20,1609260012,0.4560
2016,9,26,11,6,50,38.4678,-112.7989,5.55,0.1,-1.0,11,1609260013,0.5360
2016,9,26,11,39,30,38.4677,-112.7892,2.44,-0.7,-1.6,58,1609260014,0.4590
2016,9,26,11,40,13,38.4660,-112.7899,2.60,-0.3,-1.6,07,1609260015,0.3840
2016,9,26,12,0,20,38.4678,-112.7989,5.55,0.1,-0.4,11,1609260016,0.5190
2016,9,26,12,20,47,38.4678,-112.7989,5.55,0.1,-0.3,11,1609260017,0.6360
2016,9,26,12,39,22,38.4698,-112.7871,1.27,-0.1,-0.4,19,1609260018,0.5460
2016,9,26,13,37,36,38.4677,-112.7892,2.44,-0.7,-0.6,58,1609260019,0.4830
2016,9,26,16,54,30,38.4664,-112.7945,4.02,-0.0,-1.4,73,1609260020,0.4380
2016,9,26,16,54,42,38.4664,-112.7945,4.02,-0.0,-1.0,73,1609260021,0.4370
2016,9,26,17,54,51,38.4698,-112.7871,1.27,-0.1,0.1,19,1609260022,0.5470
2016,9,26,17,54,59,38.4677,-112.7892,2.44,-0.7,-0.6,58,1609260023,0.4870
2016,9,26,17,57,35,38.4664,-112.7945,4.02,-0.0,-1.1,73,1609260024,0.4360
2016,9,26,18,3,39,38.4677,-112.7892,2.44,-0.7,0.4,58,1609260025,0.5650
2016,9,26,19,25,55,38.4676,-112.7968,5.32,1.0,-1.1,04,1609260026,0.3020
2016,9,26,19,38,54,38.4698,-112.7871,1.27,-0.1,-1.1,19,1609260027,0.5090
2016,9,26,19,58,34,38.4698,-112.7871,1.27,-0.1,-0.8,19,1609260028,0.5050
2016,9,26,20,8,19,38.4673,-112.7947,4.39,1.3,-0.1,36,1609260029,0.4660
2016,9,26,20,19,32,38.4680,-112.7960,5.31,1.3,-1.1,14,1609260030,0.3840
2016,9,26,20,19,39,38.4678,-112.7989,5.55,0.1,-1.2,11,1609260031,0.4460
2016,9,26,20,19,43,38.4673,-112.7947,4.39,1.3,-0.4,36,1609260032,0.4840
2016,9,26,20,20,27,38.4677,-112.7892,2.44,-0.7,-1.5,58,1609260033,0.4650
2016,9,26,20,20,32,38.4680,-112.7960,5.31,1.3,-0.5,14,1609260034,0.4990
2016,9,26,20,21,16,38.4673,-112.7947,4.39,1.3,0.0,36,1609260035,0.5620
2016,9,26,22,2,7,38.4677,-112.7892,2.44,-0.7,-1.1,58,1609260036,0.5470
2016,9,26,22,17,8,38.4677,-112.7892,2.44,-0.7,-1.1,58,1609260037,0.4750
