Year,Month,Day,Hour,Minute,Second,Magnitude,Longitude,Latitude,Depth
1542.0,12.0,10.0,17.0,30.0,,6.6,15.3,37.07,
1546.0,1.0,14.0,,,,7.0,35.5,32.0,
1551.0,,,,,,5.0,105.2,25.8,
1552.0,7.0,2.0,10.0,30.0,0.0,7.6,-71.3,-16.6,30.0
1553.0,3.0,2.0,,,0.0,6.3,128.8,35.8,
1555.0,9.0,,,,,7.6,75.5,33.5,
1555.0,11.0,15.0,,,0.0,8.4,-77.6,-11.9,30.0
1556.0,1.0,23.0,,,,8.0,109.7,34.5,
1556.0,10.0,17.0,,,,7.6,-78.6,-0.2,
1560.0,4.0,,,,,5.5,103.2,24.9,
1560.0,,,,,,5.5,102.7,24.2,
1561.0,7.0,25.0,,,,7.3,106.2,37.5,
1562.0,10.0,28.0,10.0,,,8.0,-73.5,-38.7,
1564.0,7.0,20.0,,,,5.8,7.283,44.017,
1566.0,,,,,0.0,7.8,-77.3,3.0,
1568.0,4.0,25.0,,,,6.0,119.0,39.0,
1568.0,5.0,15.0,,,,6.8,109.0,34.4,
1570.0,2.0,8.0,13.0,,,8.3,-73.0,-36.75,
1571.0,9.0,9.0,,,,6.0,102.7,24.1,
1573.0,1.0,10.0,,,,6.8,104.0,34.4,
1575.0,9.0,8.0,,,,7.8,-78.6,-0.2,
1575.0,12.0,16.0,18.0,30.0,,8.5,-73.2,-39.8,
1577.0,3.0,13.0,,,,6.5,98.6,25.0,
1579.0,12.0,21.0,,,,5.0,99.9,25.1,
1580.0,4.0,6.0,,,,6.2,1.309,51.019,33.0
1581.0,,,,,,6.4,-71.5,-14.1,15.0
1582.0,1.0,22.0,16.0,30.0,,8.2,-71.6,-16.6,30.0
1582.0,8.0,15.0,,,,7.8,-77.6,-12.2,30.0
1584.0,3.0,11.0,10.0,,,5.9,6.97,46.33,
1584.0,3.0,14.0,8.0,,0.0,5.4,7.0,46.3,
1584.0,3.0,17.0,,,,8.4,-77.8,-11.8,30.0
1585.0,6.0,28.0,,,,7.0,24.5,40.2,
1586.0,1.0,18.0,,,,8.2,136.8,35.0,
1586.0,4.0,2.0,,,,5.5,100.3,25.3,
1586.0,7.0,10.0,0.0,30.0,,8.5,-77.7,-12.3,60.0
1587.0,7.0,9.0,,,,6.2,-80.5,-5.3,
1588.0,8.0,9.0,,,,6.0,102.8,24.0,
1589.0,3.0,21.0,,,,6.7,138.2,34.8,
1590.0,7.0,7.0,,,,5.5,103.9,35.4,
1590.0,9.0,15.0,,,,6.6,15.5,48.3,
1590.0,,,,,,7.7,-72.9,-17.2,40.0
1596.0,9.0,4.0,,,,6.9,131.7,33.3,
1597.0,9.0,10.0,,,,6.4,131.6,33.3,
1600.0,2.0,19.0,10.0,,,7.9,-70.9,-16.8,20.0
1600.0,2.0,28.0,20.0,,0.0,8.1,-70.8,-16.6,20.0
1600.0,9.0,29.0,,,,7.0,117.2,23.5,
1601.0,9.0,18.0,,,,6.2,8.5,46.8,
1602.0,2.0,8.0,,,,7.2,140.5,35.1,
1604.0,11.0,24.0,18.0,30.0,,8.5,-70.94,-17.88,30.0
1604.0,12.0,29.0,,,,8.0,119.5,25.0,
1605.0,2.0,3.0,,,,7.9,134.9,33.0,
1605.0,2.0,3.0,,,,7.9,138.5,33.5,
1605.0,7.0,13.0,,,,7.5,110.5,19.9,
1606.0,11.0,30.0,,,,6.5,102.8,23.6,
1608.0,4.0,20.0,,,,7.6,50.5,36.4,
1609.0,7.0,12.0,,,,7.3,99.0,39.2,
1609.0,10.0,20.0,1.0,,,8.6,-77.4,-11.9,40.0
1610.0,2.0,3.0,19.0,30.0,,7.9,-71.8,8.3,
1611.0,9.0,9.0,,,,5.5,111.3,21.5,
1611.0,12.0,2.0,,,,8.1,144.5,39.0,
1613.0,7.0,16.0,,,0.0,6.3,127.0,37.2,
1613.0,8.0,25.0,,,,5.6,14.783,38.117,
1614.0,5.0,24.0,,,0.0,6.3,-24.1,38.4,
1614.0,10.0,23.0,,,,6.5,112.5,37.2,
1614.0,11.0,26.0,,,,7.7,138.0,37.5,
1615.0,6.0,5.0,,,,5.7,35.5,44.9,
1615.0,6.0,26.0,,,0.0,6.4,139.7,35.7,
1615.0,9.0,16.0,,,,7.5,-70.35,-18.5,
1616.0,9.0,9.0,,,,7.0,142.0,38.1,
1616.0,12.0,6.0,,,,7.5,144.5,39.0,
1618.0,5.0,20.0,,,,6.5,111.9,37.0,
1619.0,2.0,14.0,16.0,30.0,,8.6,-79.038,-7.941,40.0
1619.0,5.0,1.0,,,,6.4,130.6,32.5,
1620.0,,,,,,5.8,71.4,40.9,6.0
1621.0,3.0,,,,,5.5,116.7,39.5,
1622.0,10.0,25.0,,,,7.0,106.3,36.5,
1626.0,6.0,28.0,,,,7.0,114.2,39.4,
1627.0,2.0,15.0,,,,6.0,105.5,37.5,
1627.0,7.0,30.0,10.0,50.0,,6.7,15.35,41.733,
1627.0,9.0,14.0,,,,7.5,121.8,18.7,
1628.0,6.0,17.0,18.0,,,5.0,15.5,46.0,6.0
1628.0,10.0,6.0,,,,6.3,114.2,40.6,
1629.0,3.0,9.0,9.0,,,7.0,25.0,36.0,70.0
1630.0,1.0,16.0,,,,6.3,104.1,32.6,
1630.0,11.0,27.0,16.0,30.0,0.0,8.1,-77.5,-12.2,30.0
