Year,Month,Day,Hour,Minute,Second,Magnitude,Longitude,Latitude,Depth
1692,9.0,13.0,11.0,,,7.0,-64.8,-25.4,30.0
1693,1.0,11.0,13.0,30.0,,7.42,15.013,37.14,
1694,6.0,19.0,7.0,,,7.0,140.1,40.2,
1695,5.0,12.0,,,,7.0,57.0,36.8,
1695,5.0,18.0,,,,7.75,111.5,36.0,
1696,4.0,14.0,,,,7.0,43.9,39.1,
1696,7.0,14.0,9.0,,,6.7,-77.7,-12.8,20.0
1697,2.0,7.0,,,,7.5,-99.0,16.5,
1697,9.0,29.0,13.0,30.0,,7.3,-77.4,-12.3,30.0
1698,6.0,20.0,,,,7.3,-78.8,-1.4,
1698,10.0,2.0,8.0,30.0,,6.0,30.0,32.0,
1699,1.0,4.0,18.0,30.0,,7.5,105.5,-7.0,
1699,7.0,14.0,9.0,,,7.8,-77.5,-11.8,40.0
1700,1.0,27.0,5.0,,,9.0,-125.0,48.5,
1700,4.0,15.0,,,,7.0,129.6,33.9,
1701,6.0,12.0,,,,7.1,26.6,45.7,150.0
1701,11.0,9.0,,,,6.6,-72.65,18.42,
1703,12.0,31.0,,,,8.2,139.66,35.03,
1704,5.0,27.0,13.0,,,7.0,140.0,40.4,
1705,10.0,,,,,7.0,127.9,-4.0,
1705,11.0,24.0,,,,6.9,36.6,33.7,35.0
1707,10.0,28.0,14.0,,,8.6,136.0,33.0,
1707,10.0,29.0,6.0,,,7.0,138.6,35.1,
1709,10.0,14.0,,,,7.5,105.3,37.4,
1710,3.0,6.0,,,,7.0,129.9,-4.53,
1711,,,,,,7.0,-89.417,13.667,
1712,12.0,14.0,,,,7.1,-88.833,13.583,
1713,9.0,4.0,,,,7.0,103.7,32.0,
1715,8.0,23.0,,,,8.0,-70.8,-17.3,80.0
1716,,,,,,7.5,80.3,41.2,30.0
1716,2.0,3.0,2.0,,,7.0,3.1,36.7,
1717,,,,,,7.0,22.9,35.9,
1717,5.0,13.0,14.0,,,7.5,142.5,38.5,
1717,9.0,29.0,,,,7.4,-90.75,14.5,
1717,10.0,3.0,,,,7.0,-90.5,14.333,
1718,6.0,19.0,,,,7.5,105.2,35.0,
1718,8.0,22.0,14.0,,,7.0,137.9,35.3,
1719,3.0,5.0,,,,7.6,-89.0,13.667,
1719,5.0,25.0,,,,6.75,29.777,40.733,
1720,,,,,,7.0,-91.0,14.667,
1720,7.0,25.0,12.0,30.0,,7.4,80.0,30.0,
1721,4.0,26.0,7.0,,,7.7,46.7,37.9,
1724,10.0,12.0,2.0,45.0,,7.0,-12.5,39.0,
1724,11.0,,,,,6.75,-72.48,6.2,
1725,1.0,7.0,4.0,15.0,,7.5,-79.3,-9.2,60.0
1725,2.0,1.0,,,,6.8,114.2,52.36,
1725,8.0,1.0,,,,7.0,101.9,30.0,
1727,11.0,9.0,18.0,30.0,,6.57,-60.75,14.983,
1730,7.0,8.0,10.0,,,8.75,-71.63,-33.05,
1730,11.0,11.0,3.0,,,7.3,142.0,36.0,
1732,12.0,2.0,6.0,,,6.9,-77.6,-11.8,50.0
1733,5.0,,,,,7.0,-91.083,14.667,
1733,8.0,2.0,,,,7.75,103.1,26.2,
1733,11.0,30.0,,,,6.0,39.0,15.7,
1736,5.0,6.0,,,,7.2,-88.917,13.583,
1737,3.0,6.0,17.0,30.0,,7.36,26.966,40.224,
1737,10.0,17.0,15.0,30.0,,8.3,158.0,51.1,40.0
1737,11.0,4.0,8.0,,,7.8,163.0,55.5,20.0
1737,12.0,24.0,,,,7.5,-73.2,-39.8,
1738,6.0,11.0,10.0,,,7.7,26.6,45.7,130.0
1738,12.0,23.0,,,,6.5,96.6,33.3,
1738,12.0,26.0,1.0,,,7.1,157.5,55.0,350.0
1739,1.0,3.0,,,,8.0,106.5,38.8,
1740,4.0,5.0,,,,7.3,26.6,45.7,150.0
1741,1.0,31.0,1.0,15.0,,7.54,28.5,36.16,
1741,2.0,15.0,,,,7.0,-90.42,15.75,10.0
1741,8.0,25.0,,,,6.8,-78.1,-3.1,
1742,,,,,,7.2,-90.083,14.0,
1742,,,,,,7.1,-89.083,13.583,
1742,6.0,27.0,,,,7.7,109.5,53.5,
1742,8.0,10.0,,,,7.1,-91.5,14.5,
1743,2.0,20.0,16.0,30.0,,7.1,18.772,39.846,
1743,5.0,30.0,,,,7.8,-92.75,16.75,
1746,10.0,29.0,3.0,30.0,,8.8,-77.198,-11.996,30.0
1747,10.0,13.0,,,,7.1,-91.5,14.667,
1748,3.0,13.0,,,,7.1,-89.083,13.667,
1749,1.0,20.0,,,,7.4,-79.3,-4.0,
1750,,,,,,7.2,-86.0,10.9,45.0
1751,,,,,,7.0,80.0,31.3,
1751,3.0,4.0,,,,7.3,-90.833,14.667,
1751,5.0,21.0,2.0,,,7.2,138.2,37.1,
1751,5.0,25.0,5.0,30.0,,8.5,-73.03,-36.83,
1751,9.0,16.0,3.0,29.0,,6.8,-72.3,18.6,30.0
1751,10.0,18.0,,,,7.45,-70.84,18.36,
1751,11.0,21.0,,,,6.6,-72.32,18.54,
1754,6.0,15.0,,,,7.0,22.8,37.8,
1754,8.0,18.0,7.0,35.0,,7.0,128.5,-3.5,
1754,9.0,1.0,,,,7.8,-100.0,16.8,
1754,10.0,,,,,6.6,32.2,29.6,
1755,11.0,1.0,9.0,30.0,,8.5,-10.0,36.5,
1756,2.0,13.0,,,,7.5,27.5,36.3,
1756,11.0,3.0,,,,7.9,101.4,-4.5,
