Earthquake ID,Region,Date (dd/mm/yyyy),Filnn-Engdahl Region, ,Magnitude,Latitude (°N),Longitude (°E),Depth (km),Author,Upload Date (mm/yyyy)

2021210501,"Madoi, Qinghai, China",21/05/2021,"Qinghai, China",,7.40,34.5860,98.2550,10.0,Jin and Fialko (2021),01/2023
2019060701,"Ridgecrest, Southern California",06/07/2019,Central California,,7.10,35.7700,-117.5990,7.0,Jin and Fialko (2020),01/2023
2019040701,"Ridgecrest, Southern California",04/07/2019,Central California,,6.40,35.7050,-117.5040,10.5,Jin and Fialko (2020),01/2023
2019030101,"Changning earthquake, Sichuan",03/01/2019,"Sichuan, China",,5.01,28.2150,104.8480,1.6,Wang et al. (2022),12/2022
2018161201,"Changning earthquake, Sichuan",16/12/2018,"Sichuan, China",,5.06,28.2520,104.9090,1.0,Wang et al. (2022),12/2022
2018060901,"Iburi, Hokkaido, Japan",05/09/2018,"Hokkaido, Japan Region",,6.80,42.6908,142.0067,37.0,Asano and Iwata (2019),09/2021
2017080901,"Chiapas, Mexico",08/09/2017,"Off Coast Of Chiapas, Mexico",,8.10,14.8500,-94.1100,18.0,Okuwaki and Yagi (2017),11/2017
2017270101,"Changning earthquake, Sichuan",27/01/2017,"Sichuan, China",,4.86,28.1140,104.7370,1.7,Wang et al. (2022),12/2022
2017220101,Solomon Islands,22/01/2017,Solomon Islands,,7.88,-6.2669,155.1189,136.0,Hayes (2017),10/2019
2017180101,"Campotosto, Italy",18/01/2017,Central Italy,,5.95,42.5500,13.2900,8.5,Cheloni et al. (2019),07/2019
2016251201,Chile (Southern),25/12/2016,Southern Chile,,7.61,-43.4167,-73.8972,30.0,Hayes (2017),10/2019
2016171201,"New Ireland Region, P.N.G.",17/12/2016,"New Ireland Region, P.N.G.",,7.88,-4.5091,153.4495,95.0,Hayes (2017),10/2019
2016081201,Solomon Islands,08/12/2016,Solomon Islands,,7.79,-10.6741,161.3351,41.0,Hayes (2017),10/2019
2016131101,"South Island, New Zealand",13/11/2016,"South Island, New Zealand",,7.89,-42.7570,173.0770,16.0,Hayes (2017),10/2019
2016301001,Norcia,30/10/2016,Central Italy,,6.50,42.8400,13.0800,9.5,Pizzi et al. (2017),11/2017
2016261001,Ussita,26/10/2016,Central Italy,,6.09,42.8800,13.1000,7.5,Pizzi et al. (2017),11/2017
2016010901,"Off E. Coast Of N. Island, N.Z.",01/09/2016,"Off E. Coast Of N. Island, N.Z.",,7.02,-37.4010,179.0550,19.0,Hayes (2017),10/2019
2016290801,Ascension Island,29/08/2016,North Of Ascension Island,,7.10,-0.0718,-17.8139,12.0,Hayes (2017),10/2019
2016240801,Amatrice,24/08/2016,Central Italy,,6.21,42.7063,13.2532,5.0,Pizzi et al. (2017),11/2017
2016190801,South Georgia Island Region,19/08/2016,South Georgia Island Region,,7.38,-55.3394,-31.9394,12.0,Hayes (2017),10/2019
2016120801,Loyalty Islands (Southeast),12/08/2016,Southeast Of Loyalty Islands,,7.24,-22.4890,173.0954,16.1,Hayes (2017),10/2019
2016290701,Mariana Islands,29/07/2016,Mariana Islands,,7.70,18.5153,145.5293,212.4,Hayes (2017),10/2019
2016280501,South Sandwich Islands Region,28/05/2016,South Sandwich Islands Region,,7.15,-56.2571,-27.0364,78.0,Hayes (2017),10/2019
2016280401,Vanuatu Islands,28/04/2016,Vanuatu Islands,,6.98,-16.0941,167.3368,35.0,Hayes (2017),10/2019
2016160401,Near Coast Of Ecuador,16/04/2016,Near Coast Of Ecuador,,7.82,0.3482,-79.9720,20.0,Hayes (2017),10/2019
2016150401,"Kumamoto, Japan",15/04/2016,"Kyushu, Japan",,7.04,32.7545,130.7630,12.5,Asano and Iwata (2016),09/2021
2016140401,"Kumamoto, Japan",14/04/2016,"Kyushu, Japan",,6.14,32.7417,130.8087,11.4,Asano and Iwata (2016),11/2017
2016140402,"Kumamoto,Japan",14/04/2016,"Kyushu, Japan",,6.09,32.7004,130.7767,5.9,Kobayashi et al. (2017),03/2020
2016020301,"Southwest Of Sumatra, Indonesia",02/03/2016,"Southwest Of Sumatra, Indonesia",,7.77,-4.9050,94.2360,24.0,Hayes (2017),10/2019
2016300101,"Kamchatka Peninsula, Russia",30/01/2016,"Kamchatka Peninsula, Russia",,7.20,54.0377,158.5142,160.0,Hayes (2017),10/2019
2016240101,Alaska (Southern),24/01/2016,Southern Alaska,,7.12,59.6585,-153.4521,127.8,"Hayes (NEIC, Alaska South 2014)",05/2016
2015071201,"Murghab, Tajikistan",07/12/2015,Tajikistan,,7.17,38.2600,72.7700,10.0,Hayes (2017),10/2019
2015041201,Southeast Indian Ridge,04/12/2015,Southeast Indian Ridge,,7.10,-47.7400,85.1830,20.0,Hayes (2017),10/2019
2015261001,"Hindu Kush Region, Afghanistan",26/10/2015,"Hindu Kush Region, Afghanistan",,7.54,36.4687,70.6106,213.5,Hayes (2017),10/2019
2015160901,"Illapel, Chile",16/09/2015,Near Coast Of Central Chile,,8.23,-31.5952,-71.6728,29.0,Hayes (2017),10/2019
2015270701,"Irian Jaya, Indonesia",27/07/2015,"Irian Jaya, Indonesia",,6.96,-2.6900,138.4789,48.0,Hayes (2017),10/2019
2015120501,Nepal,12/05/2015,Nepal,,7.26,27.8428,86.1535,15.0,Hayes (2017),10/2019
2015070501,Solomon Islands,07/05/2015,Solomon Islands,,7.05,-7.2771,154.5344,12.0,Hayes (2017),10/2019
2015050501,"New Britain Region, P.N.G.",05/05/2015,"New Britain Region, P.N.G.",,7.47,-5.5034,151.9151,42.0,Hayes (2017),10/2019
2015250401,"Gorkha, Nepal",25/04/2015,Nepal,,7.82,28.1300,84.6500,15.0,Hayes (2017),10/2019
2015290301,"New Britain Region, P.N.G.",29/03/2015,"New Britain Region, P.N.G.",,7.44,-4.7900,152.5800,50.7,Hayes (2017),10/2019
2015130201,Northern Mid-Atlantic Ridge,13/02/2015,Northern Mid-Atlantic Ridge,,7.13,52.6693,-31.9244,13.8,Hayes (2017),10/2019
2014141001,Off Coast Of Central America,14/10/2014,Off Coast Of Central America,,7.29,12.6127,-88.0734,40.5,Hayes (2017),10/2019
2014240801,2014 South Napa,24/08/2014,Northern California,,6.07,38.2200,-122.3130,10.0,Gallovic (2016),04/2016
2014010401,"Iquique, Chile",01/04/2014,Near Coast Of Northern Chile,,8.18,-19.6298,-70.8634,25.0,Hayes (2017),10/2019
2013171101,Scotia Sea,17/11/2013,Scotia Sea,,7.89,-60.2961,-46.3620,12.0,Hayes (2017),11/2019
2013240901,"Balochistan, Pakistan",24/09/2013,Pakistan,,7.70,26.8700,65.3250,-12.2,Avouac et al. (2014),05/2014
2013240501,Okhotsk Sea,24/05/2013,Sea Of Okhotsk,,8.39,54.8740,153.2810,620.0,Wei et al. (2013b),03/2015
2013230501,Fiji Islands,23/05/2013,South Of Fiji Islands,,7.39,-23.0100,-177.2300,174.0,Hayes (2017),10/2019
2013160401,"Khash, Iran",16/04/2013,Southwestern Pakistan,,7.73,27.8600,62.1500,60.0,Hayes (2017),10/2019
2013060201,Santa Cruz Islands,06/02/2013,Santa Cruz Islands,,8.03,-10.7377,165.1378,28.7,Hayes (2017),10/2019
2013050101,Alaska,05/01/2013,Southeastern Alaska,,7.55,55.2918,-134.7277,12.0,Hayes (2017),11/2019
2012281001,"Masset,Canada",28/10/2012,Queen Charlotte Islands Region,,7.83,52.7420,-132.1310,15.0,Hayes (2017),11/2019
2012050901,Costa Rica,05/09/2012,Costa Rica,,7.57,9.8193,-85.5271,15.0,Hayes (2017),11/2019
2012310801,"East of Sulangan, Philippines",31/08/2012,Philippine Islands Region,,7.59,10.8160,126.6725,34.0,"Hayes (USGS, Philippines 2012)",08/2013
2012270801,Offshore El Salvador,27/08/2012,Off Coast Of Central America,,7.32,12.1400,-88.5900,11.8,Hayes (2017),11/2019
2012260801,Brawley Swarm,26/08/2012,Southern California,,5.45,33.0190,-115.5370,6.4,Wei et al. (2013),12/2013
2012260802,Brawley Swarm,26/08/2012,Southern California,,5.38,33.0152,-115.5480,4.9,Wei et al. (2013),12/2013
2012110401,Sumatra,11/04/2012,Off W Coast Of Northern Sumatra,,8.65,2.3484,93.0725,23.0,Hayes (2017),11/2019
2012200301,"Oaxaca, Mexico",20/03/2012,"Near Coast Of Guerrero, Mexico",,7.42,16.5000,-98.2200,20.0,Hayes (2017),11/2019
2012100101,sumatra,10/01/2012,Off W Coast Of Northern Sumatra,,7.17,2.4300,93.2100,19.0,Hayes (2017),11/2019
2011231001,"Van, Turkey",23/10/2011,Turkey,,7.20,38.7511,43.4698,15.2,Altiner et al. (2013),09/2015
2011211001,Kermadec Islands,21/10/2011,Kermadec Islands Region,,7.37,-28.9900,-176.2400,45.0,Hayes (2017),11/2019
2011180901,Sikkim,18/09/2011,"Sikkim, India",,6.90,27.8000,88.1500,45.0,Sunilkumar et al. (2019),01/2020
2011200801,Vanuatu,20/08/2011,Vanuatu Islands,,7.12,-18.3600,168.1400,32.0,Hayes (2017),11/2019
2011060701,Kermadec Islands,06/07/2011,Kermadec Islands Region,,7.55,-29.3120,-176.2040,20.0,Hayes (2017),11/2019
2011110502,Lorca-Mainshock,11/05/2011,Spain,,5.20,37.7270,-1.6860,4.6,Lopez-Comino et al. (2016),01/2019
2011110501,Lorca-Foreshock,11/05/2011,Spain,,4.60,37.7220,-1.6990,5.1,Lopez-Comino et al. (2016),01/2019
2011110401,"Fukushima Hamadori, Japan",11/04/2011,"Near East Coast Of Honshu, Japan",,6.68,36.9520,140.6860,7.0,Tanaka et al. (2014),09/2021
2011110301,"Tohoku-Oki, Japan",11/03/2011,"Near East Coast Of Honshu, Japan",,9.00,38.3000,142.3400,28.0,Ammon et al. (2011),10/2015
2011110302,Ibaraki-Oki (Japan),11/03/2011,"Near East Coast Of Honshu, Japan",,7.86,36.1208,141.2525,25.0,Kubo et al. (2013),10/2020
2011110303,Iwate-Oki (Japan),11/03/2011,"Near East Coast Of Honshu, Japan",,7.35,39.8207,142.7668,28.6,Kubo and Nishikawa (2020),02/2021
2011090301,"Offshore Honshu, Japan",09/03/2011,"Near East Coast Of Honshu, Japan",,7.30,38.4487,142.8574,20.7,"Hayes (NEIC, Offshore Honshu 2011)",09/2013
2011180101,Pakistan,18/01/2011,Southwestern Pakistan,,7.20,28.8453,63.9338,67.3,"Hayes (NEIC, Pakistan 2011)a",02/2014
2010251201,Vanuatu,25/12/2010,Vanuatu Islands Region,,7.29,-19.7000,167.9400,16.0,Hayes (2017),11/2019
2010211201,Bonin Islands,21/12/2010,"Bonin Islands, Japan Region",,7.37,26.8656,143.7392,14.0,Hayes (2017),11/2019
2010251001,Sumatra,25/10/2010,"Southern Sumatra, Indonesia",,7.76,-3.4640,100.0840,15.0,Hayes (2017),11/2019
2010030901,"Darfield, South Island New Zealand",03/09/2010,"South Island, New Zealand",,7.10,-43.5500,172.2000,10.0,Atzori et al. (2012),10/2013
2010100801,Vanuatu Islands,10/08/2010,Vanuatu Islands,,7.26,-17.5400,168.0700,25.0,Hayes (2017),11/2019
