Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2009,2,3,20,41,57,3.4,-4.18,34.19,44
2009,2,4,2,31,11,4,-3.906,34.814,10
2009,2,5,0,47,54,3.8,-3.947,34.935,10
2009,2,6,20,36,15,3.8,-0.712,35.066,10
2009,2,14,12,3,37,3.9,-3.923,29.172,10
2009,2,15,7,29,3,4.3,-4.0903,34.9194,11.75
2009,2,15,23,56,1,4,-4.0759,34.9806,22
2009,2,16,0,1,5,3.8,-5.0171,34.4927,0
2009,2,16,8,24,23,4.8,-3.9275,34.8483,22
2009,2,17,0,14,17,3.4,-4.101,34.802,10
2009,2,17,0,16,33,3.7,-4.128,34.926,10
2009,2,17,1,59,2,4.5,-4.41,34.48,2
2009,2,26,4,33,22,3.5,-5.856,35.719,10
2009,2,26,22,5,45,3.5,-3.93,34.97,10
2009,2,28,1,26,23,3.4,-3.11,35.93,9
2009,2,28,19,52,55,4.1,-5.5,34.98,0
2009,3,1,1,27,9,3,-4.157,29.59,10
2009,3,24,2,12,6,4,-11.6837,34.4964,10
2009,3,25,5,3,21,4,-2.5899,29.4851,13.75
2009,3,29,9,10,39,3.7,-5.87,35.27,8
2009,4,27,3,14,50,3.7,-4.67,35.65,45
2009,5,3,4,31,41,3.4,-8.3,31.93,0
2009,5,15,8,41,48,3.5,-23.369,25.669,10
2009,5,16,1,51,30,4,-15.4129,30.8091,10
2009,5,24,20,21,57,5,-17.348,27.614,18.25
2009,5,24,20,39,38,3.4,-17.4396,27.3803,18.25
2009,5,25,9,48,32,4.4,-17.403,27.611,10
2009,6,6,13,48,14,4,-21.029,31.099,10
2009,6,10,15,18,3,4.2,-5.5032,35.8761,10
2009,7,2,19,44,16,3.5,-3.778,35.8161,10
2009,7,7,8,16,9,3.8,-0.3794,29.9748,0
2009,7,20,23,1,14,3.9,-6.5601,30.0281,13
2009,7,24,19,0,50,4,-3.8494,34.7878,23.75
2009,7,24,20,30,16,3.7,-3.7903,34.8262,10
2009,7,27,20,48,33,3.4,-7.6439,32.1163,0
2009,7,30,1,32,54,4,-3.9487,34.8618,10
2009,8,1,19,34,31,3.6,-4.0182,35.0485,22
2009,8,10,22,54,48,4.6,-10.635,34.314,25
2009,8,14,12,6,55,4,-5.5088,29.9134,32.5
2009,8,15,16,58,36,4.2,-7.1837,31.3904,28.5
2009,8,15,20,6,4,3.9,-4.3727,35.2053,10
2009,8,27,18,8,37,3.9,-7.2608,37.9184,10
2009,8,28,2,19,39,3.9,-0.031,30.072,0
2009,9,3,6,38,23,4.5,-5.463,35.753,10
2009,9,5,10,17,30,3.4,-4.166,35.272,0
